,WELL ID,genotype,replicate,antibody,concentration,units,Cells,Single Cells,Single Cells2,ACE2pos,APC_geomean,PE_geomean,bin1,bin2,bin3,bin4,mean_bin
Specimen_001_C3_C03.fcs,C3,wildtype,2,CR3022,0.0256,ng_per_mL,48.3,94.8,97.6,98.5,104,14622,55.7,28.9,11.6,3.57,1.62954796
Specimen_001_C4_C04.fcs,C4,wildtype,2,CR3022,0.128,ng_per_mL,46.7,94.6,97.5,98.8,109,14070,54.2,31.4,11,3.08,1.628410915
Specimen_001_C5_C05.fcs,C5,wildtype,2,CR3022,0.64,ng_per_mL,46.6,94.4,97.8,99.1,183,15380,40.2,37.5,15.2,6.89,1.887563884
Specimen_001_C6_C06.fcs,C6,wildtype,2,CR3022,3.2,ng_per_mL,45.3,94.7,97.7,99,297,13639,28.6,37.1,23.1,11,2.165330661
Specimen_001_C7_C07.fcs,C7,wildtype,2,CR3022,16,ng_per_mL,46,94.9,97.9,98.6,803,13817,12.9,28.6,33,25.4,2.70970971
Specimen_001_C8_C08.fcs,C8,wildtype,2,CR3022,80,ng_per_mL,45.9,94.7,97.7,98.4,3654,14801,1.35,10.2,30.4,58,3.451225613
Specimen_001_C9_C09.fcs,C9,wildtype,2,CR3022,400,ng_per_mL,44.1,94.7,97.9,98.5,11952,13860,0.055,0.65,12.1,87.2,3.864356782
Specimen_001_C10_C10.fcs,C10,wildtype,2,CR3022,2000,ng_per_mL,41.5,95.3,97.7,97.3,18052,13344,0,0.2,6.06,93.7,3.93537415
Specimen_001_C11_C11.fcs,C11,wildtype,2,CR3022,10000,ng_per_mL,42,95.1,97.6,95.6,19386,10673,0.046,0.13,5.14,94.7,3.944628859
Specimen_001_C12_C12.fcs,C12,wildtype,2,CR3022,NA,ng_per_mL,44.1,94.9,97.6,98.4,23.6,13035,96,3.78,0.12,0.044,1.041543264
Specimen_001_D1_D01.fcs,D1,K378N,1,CR3022,0,dilution_factor,41.8,94.5,97.7,99.2,25,13873,96.1,3.82,0.057,0,1.03934905
Specimen_001_D2_D02.fcs,D2,K378N,1,CR3022,0.00512,dilution_factor,39.1,93.6,97.5,98.8,23.8,13243,95.8,4.12,0.036,0,1.041938453
Specimen_001_D3_D03.fcs,D3,K378N,1,CR3022,0.0256,dilution_factor,42.2,94.1,97.9,97.8,23.9,11484,96.4,3.47,0.034,0.011,1.035740379
Specimen_001_D4_D04.fcs,D4,K378N,1,CR3022,0.128,dilution_factor,39.1,93.6,97.8,98.3,23.4,11279,96.4,3.42,0.026,0.013,1.035159575
Specimen_001_D5_D05.fcs,D5,K378N,1,CR3022,0.64,dilution_factor,42.5,93.4,97.4,98.2,23.4,12614,95.9,3.9,0.066,0,1.040374101
Specimen_001_D6_D06.fcs,D6,K378N,1,CR3022,3.2,dilution_factor,39.4,93.4,97.9,98.5,23.4,13019,96,3.95,0.022,0,1.039951186
Specimen_001_D7_D07.fcs,D7,K378N,1,CR3022,16,dilution_factor,39.9,94.1,97.7,98.5,24,13023,95.8,4.08,0.025,0,1.041339272
Specimen_001_D8_D08.fcs,D8,K378N,1,CR3022,80,dilution_factor,41.6,94.8,97.7,97.9,23.5,12448,96.1,3.79,0.022,0,1.038373769
Specimen_001_D9_D09.fcs,D9,K378N,1,CR3022,400,dilution_factor,38.5,94.8,97.8,98.3,23.1,11478,96.4,3.58,0,0,1.035807161
Specimen_001_D10_D10.fcs,D10,K378N,1,CR3022,2000,dilution_factor,35.7,94.3,97.9,98.9,24.6,12717,95.3,4.51,0.042,0,1.046008092
Specimen_001_D11_D11.fcs,D11,K378N,1,CR3022,10000,dilution_factor,38.1,94.2,97.8,98.9,25.5,14069,95.2,4.64,0.063,0,1.047706275
Specimen_001_D12_D12.fcs,D12,K378N,1,CR3022,NA,dilution_factor,40.7,93.8,98.1,98.4,23.6,12076,95.8,4.02,0.026,0,1.040782806
Specimen_001_E1_E01.fcs,E1,K378N,2,CR3022,0,ng_per_mL,43.6,95.6,97.8,97.9,23.9,10825,96.2,3.6,0.057,0,1.037193186
Specimen_001_E2_E02.fcs,E2,K378N,2,CR3022,0.00512,ng_per_mL,42.9,94.7,97.5,98.6,22.8,12004,96.3,3.56,0.088,0,1.037379437
Specimen_001_E3_E03.fcs,E3,K378N,2,CR3022,0.0256,ng_per_mL,44.5,94.7,97.7,98,23,12293,96.1,3.73,0.033,0,1.038012077
Specimen_001_E4_E04.fcs,E4,K378N,2,CR3022,0.128,ng_per_mL,42.8,94.2,97.6,98.7,23.2,12118,96.6,3.25,0,0.011,1.032875697
Specimen_001_E5_E05.fcs,E5,K378N,2,CR3022,0.64,ng_per_mL,41.1,94.3,97.4,97.4,23.5,12116,95.7,4.27,0.011,0,1.042928156
Specimen_001_E6_E06.fcs,E6,K378N,2,CR3022,3.2,ng_per_mL,41.8,94.2,98,98.6,23.6,12599,96.1,3.82,0.011,0,1.038446528
Specimen_001_E7_E07.fcs,E7,K378N,2,CR3022,16,ng_per_mL,43.6,94.6,97.6,97.9,24.2,12687,95.3,4.55,0.043,0,1.046409658
Specimen_001_E8_E08.fcs,E8,K378N,2,CR3022,80,ng_per_mL,43.9,94.5,97.5,98.1,24.1,12788,95.8,4.09,0.022,0,1.041376411
Specimen_001_E9_E09.fcs,E9,K378N,2,CR3022,400,ng_per_mL,43,94.5,97.4,98.4,23.3,12740,95.8,4.09,0.022,0,1.041376411
Specimen_001_E10_E10.fcs,E10,K378N,2,CR3022,2000,ng_per_mL,37.5,94,97,99.2,24.2,13797,95.6,4.23,0.044,0,1.043234475
Specimen_001_E11_E11.fcs,E11,K378N,2,CR3022,10000,ng_per_mL,40.1,95,97.7,98.3,23.8,13415,95.1,4.75,0.011,0,1.047786423
Specimen_001_E12_E12.fcs,E12,K378N,2,CR3022,NA,ng_per_mL,41,94,97.6,98.8,24.7,13179,95.4,4.43,0,0,1.044375438
Specimen_001_F1_F01.fcs,F1,F392A,1,CR3022,0,ng_per_mL,45.4,95.3,97.6,96.1,23.3,11679,95.4,4.28,0.25,0,1.047833483
Specimen_001_F2_F02.fcs,F2,F392A,1,CR3022,0.00512,ng_per_mL,43,95.1,97.5,97.9,46.5,13145,80.6,13.7,3.94,1.57,1.263400461
Specimen_001_F3_F03.fcs,F3,F392A,1,CR3022,0.0256,ng_per_mL,44,94.7,97.5,97.4,51.9,13608,76.9,16,4.54,2.29,1.320364985
Specimen_001_F4_F04.fcs,F4,F392A,1,CR3022,0.128,ng_per_mL,42.8,94.6,97.5,98.9,59.9,14445,73.8,19.5,4.16,2.31,1.348301093
Specimen_001_F5_F05.fcs,F5,F392A,1,CR3022,0.64,ng_per_mL,42.5,95.1,97.1,95.9,73.3,13048,66.3,22.7,6.51,4.24,1.485614035
Specimen_001_F6_F06.fcs,F6,F392A,1,CR3022,3.2,ng_per_mL,43.4,94.7,97.8,99,152,15640,43.6,40.2,10.4,5.45,1.776216759
Specimen_001_F7_F07.fcs,F7,F392A,1,CR3022,16,ng_per_mL,41.4,95.4,96.9,97,382,14228,25.2,37.4,22.5,14.8,2.269269269
Specimen_001_F8_F08.fcs,F8,F392A,1,CR3022,80,ng_per_mL,43.1,95.5,97.3,97.1,1380,13638,6.22,23.3,36.4,33.9,2.98156682
Specimen_001_F9_F09.fcs,F9,F392A,1,CR3022,400,ng_per_mL,44.3,96.1,97.6,98.4,4404,14435,0.75,7.1,26.9,65.2,3.566283142
Specimen_001_F10_F10.fcs,F10,F392A,1,CR3022,2000,ng_per_mL,43.3,95.6,97.1,95.4,6554,11497,0.27,4.96,22.6,72.1,3.666466527
Specimen_001_F11_F11.fcs,F11,F392A,1,CR3022,10000,ng_per_mL,40.8,94.8,97.3,97.8,8540,12972,0.056,1.86,15.2,82.9,3.809150536
Specimen_001_F12_F12.fcs,F12,F392A,1,CR3022,NA,ng_per_mL,43.3,95.5,97.4,98.2,23.2,13209,95.3,4.46,0.14,0.023,1.048127058
